Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.08     47.42     0.05 12027698     0.00     0.00  bitmap_first_set_bit
  0.08     47.47     0.05  9211494     0.00     0.00  df_sort_and_compress_refs
  0.08     47.52     0.05  7526194     0.00     0.00  is_gimple_reg
  0.08     47.57     0.05  7499039     0.00     0.00  df_install_refs
  0.08     47.62     0.05  3763433     0.00     0.00  get_attr_type
  0.08     47.67     0.05  3654747     0.00     0.00  av_set_copy
  0.08     47.72     0.05  3641012     0.00     0.00  moveup_expr_cached
  0.08     47.77     0.05  3338869     0.00     0.00  deps_analyze_insn
  0.08     47.82     0.05  3086314     0.00     0.00  df_set_bb_dirty
  0.08     47.87     0.05  2684999     0.00     0.00  df_refs_add_to_chains
  0.08     47.92     0.05  2661268     0.00     0.00  _cpp_lex_direct
  0.08     47.97     0.05  2395518     0.00     0.00  bitmap_and_compl_into
  0.08     48.02     0.05  2068519     0.00     0.00  exp_equiv_p
  0.08     48.07     0.05  1887164     0.00     0.00  min_insn_size
  0.08     48.12     0.05  1707019     0.00     0.00  cselib_subst_to_values
  0.08     48.17     0.05  1696941     0.00     0.00  df_insn_rescan
  0.08     48.22     0.05  1311609     0.00     0.00  evaluate_stmt
  0.08     48.27     0.05  1191958     0.00     0.00  may_trap_exp
  0.08     48.32     0.05  1100204     0.00     0.00  compute_av_set_at_bb_end
  0.08     48.37     0.05  1097872     0.00     0.00  find_func_aliases
  0.08     48.42     0.05   896586     0.00     0.00  potentially_threadable_block
  0.08     48.47     0.05   797545     0.00     0.00  bypass_p
  0.08     48.52     0.05   787720     0.00     0.00  sd_add_dep
  0.08     48.57     0.05   719560     0.00     0.00  insn_current_reference_address
  0.08     48.62     0.05   696422     0.00     0.00  pointer_map_insert
  0.08     48.67     0.05   643261     0.00     0.00  add_insn_before
  0.08     48.72     0.05   624052     0.00     0.00  eliminate_regs_in_insn
  0.08     48.77     0.05   561878     0.00     0.00  repl_map_eq
  0.08     48.82     0.05   406228     0.00     0.00  bitmap_find_leader
  0.08     48.87     0.05   138099     0.00     0.00  sched_rgn_compute_dependencies
  0.08     48.92     0.05   138099     0.00     0.00  sel_sched_region
  0.08     48.97     0.05    23488     0.00     0.00  htab_expand
  0.08     49.02     0.05     3000     0.00     0.00  set_value_range
  0.08     49.07     0.05      533     0.00     0.00  get_all_dominated_blocks
  0.08     49.12     0.05      154     0.00     0.00  tree_ssa_forward_propagate_single_use_vars
  0.08     49.17     0.05       76     0.00     0.00  break_up_subtract_bb
  0.08     49.22     0.05       38     0.00     0.00  coalesce_ssa_name
  0.08     49.27     0.05       38     0.00     0.02  regmove_optimize
  0.08     49.32     0.05       38     0.00     0.00  rest_of_clean_state
  0.07     49.37     0.05  1103538     0.00     0.00  get_last_value_validate
  0.07     49.41     0.05   701439     0.00     0.00  get_alias_set
  0.06     49.45     0.04 52225791     0.00     0.00  tree_strip_sign_nop_conversions
  0.06     49.49     0.04 20874613     0.00     0.00  free_INSN_LIST_list
  0.06     49.53     0.04 14527930     0.00     0.00  xmalloc
  0.06     49.57     0.04  8750291     0.00     0.00  av_set_iter_remove
  0.06     49.61     0.04  8250740     0.00     0.00  lookup_constraint
  0.06     49.65     0.04  8093577     0.00     0.00  iterative_hash_expr
  0.06     49.69     0.04  6285635     0.00     0.00  mark_insn
  0.06     49.73     0.04  4484823     0.00     0.00  tree_forwarder_block_p
  0.06     49.77     0.04  3549007     0.00     0.00  walk_stmt_load_store_addr_ops
  0.06     49.81     0.04  3434508     0.00     0.00  find_base_term
  0.06     49.85     0.04  2622020     0.00     0.00  insert_with_costs
  0.06     49.89     0.04  2606710     0.00     0.00  num_sign_bit_copies1
  0.06     49.93     0.04  2330314     0.00     0.00  simplify_binary_operation_1
  0.06     49.97     0.04  2285255     0.00     0.00  df_def_record_1
  0.06     50.01     0.04  2223615     0.00     0.00  gimple_assign_ssa_name_copy_p
  0.06     50.05     0.04  2196682     0.00     0.00  get_value_range
  0.06     50.09     0.04  2130425     0.00     0.00  _eligible_successor_edge_p
  0.06     50.13     0.04  2110394     0.00     0.00  df_md_bb_local_compute_process_def
  0.06     50.17     0.04  2081248     0.00     0.00  dep_cost_1
  0.06     50.21     0.04  1767281     0.00     0.00  split_4
  0.06     50.25     0.04  1618289     0.00     0.00  tick_check_dep_with_dw
  0.06     50.29     0.04  1470557     0.00     0.00  df_insn_delete
  0.06     50.33     0.04  1413528     0.00     0.00  reset_used_flags
  0.06     50.37     0.04  1255545     0.00     0.00  subst
  0.06     50.41     0.04  1228562     0.00     0.00  ggc_free
  0.06     50.45     0.04  1085937     0.00     0.00  lookup_avail_expr
  0.06     50.49     0.04   964682     0.00     0.00  single_set_2
  0.06     50.53     0.04   878183     0.00     0.00  c_fully_fold_internal
  0.06     50.57     0.04   772577     0.00     0.00  code_motion_path_driver
  0.06     50.61     0.04   623991     0.00     0.00  elimination_effects
  0.06     50.65     0.04   623676     0.00     0.00  create_insn_allocnos
  0.06     50.69     0.04   616192     0.00     0.00  insn_line
  0.06     50.73     0.04   577870     0.00     0.00  register_edge_assert_for
  0.06     50.77     0.04   559633     0.00     0.00  gimple_redirect_edge_and_branch
  0.06     50.81     0.04   442270     0.00     0.00  df_bb_refs_collect
  0.06     50.85     0.04   155692     0.00     0.00  create_loop_tree_node_allocnos
  0.06     50.89     0.04   155692     0.00     0.00  process_bb_node_for_hard_reg_moves
  0.06     50.93     0.04    97853     0.00     0.00  deps_join
  0.06     50.97     0.04    68958     0.00     0.00  expand_call
  0.06     51.01     0.04    57398     0.00     0.00  fibheap_extr_min_node
  0.06     51.05     0.04     1611     0.00     0.00  compact_blocks
  0.06     51.09     0.04     1026     0.00     0.00  calc_dfs_tree
  0.06     51.13     0.04      802     0.00     0.00  loop_optimizer_finalize
  0.06     51.17     0.04      192     0.00     0.00  execute_update_addresses_taken
  0.06     51.21     0.04      133     0.00     0.00  find_many_sub_basic_blocks
  0.06     51.25     0.04      118     0.00     0.00  cleanup_dead_labels
  0.06     51.29     0.04      118     0.00     0.00  fold_cond_expr_cond
  0.06     51.33     0.04      116     0.00     0.00  compute_may_aliases
  0.06     51.37     0.04       76     0.00     0.00  reassociate_bb
