Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.25     0.00     1260     0.00     0.00  S_more_sv
  0.00      0.25     0.00     1260     0.00     0.00  S_sv_add_arena
  0.00      0.25     0.00     1096     0.00     0.00  Perl_scalar
  0.00      0.25     0.00      826     0.00     0.00  Perl_Slab_Alloc
  0.00      0.25     0.00      802     0.00     0.00  Perl_op_clear
  0.00      0.25     0.00      758     0.00     0.02  Perl_yylex
  0.00      0.25     0.00      716     0.00     0.00  Perl_Slab_Free
  0.00      0.25     0.00      686     0.00     0.00  Perl_hv_common_key_len
  0.00      0.25     0.00      497     0.00     0.00  Perl_safesyscalloc
  0.00      0.25     0.00      428     0.00     0.00  Perl_share_hek
  0.00      0.25     0.00      404     0.00     0.00  S_SvREFCNT_dec
  0.00      0.25     0.00      394     0.00     0.00  Perl_gv_fetchpvn_flags
  0.00      0.25     0.00      374     0.00     0.00  S_perl_hash_one_at_a_time_hard
  0.00      0.25     0.00      347     0.00     0.00  S_parse_gv_stash_name
  0.00      0.25     0.00      335     0.00     0.00  Perl_ck_null
  0.00      0.25     0.00      331     0.00     0.00  Perl_save_I32
  0.00      0.25     0.00      325     0.00     0.00  S_op_std_init
  0.00      0.25     0.00      320     0.00     0.66  S_fold_constants
  0.00      0.25     0.00      320     0.00     0.00  S_op_integerize
  0.00      0.25     0.00      297     0.00     0.00  Perl_lex_read_space
  0.00      0.25     0.00      297     0.00     0.00  S_skipspace_flags
  0.00      0.25     0.00      291     0.00     0.00  S_find_default_stash
  0.00      0.25     0.00      291     0.00     0.00  S_gv_is_in_main
  0.00      0.25     0.00      275     0.00     0.00  Perl_sv_add_backref
  0.00      0.25     0.00      248     0.00     0.00  Perl_ckwarn
  0.00      0.25     0.00      227     0.00     0.00  S_gv_init_svtype
  0.00      0.25     0.00      226     0.00     0.00  Perl_av_fetch
  0.00      0.25     0.00      224     0.00     0.00  Perl_newSVOP
  0.00      0.25     0.00      223     0.00     0.00  Perl_list
  0.00      0.25     0.00      216     0.00     0.00  Perl_ck_svconst
  0.00      0.25     0.00      199     0.00     0.00  S_parse_ident
  0.00      0.25     0.00      195     0.00     0.00  Perl_pad_findmy_pvn
  0.00      0.25     0.00      195     0.00     0.00  S_pad_findlex
  0.00      0.25     0.00      191     0.00     0.00  Perl_hv_backreferences_p
  0.00      0.25     0.00      189     0.00     0.00  do_clean_named_io_objs
  0.00      0.25     0.00      187     0.00     0.00  Perl_gv_init_pvn
  0.00      0.25     0.00      187     0.00     0.00  Perl_gv_name_set
  0.00      0.25     0.00      187     0.00     0.00  Perl_newGP
  0.00      0.25     0.00      187     0.00     0.00  Perl_newUNOP
  0.00      0.25     0.00      185     0.00     0.00  do_clean_named_objs
  0.00      0.25     0.00      176     0.00     0.00  Perl_pp_postinc
  0.00      0.25     0.00      166     0.00     0.00  Perl_scalarvoid
  0.00      0.25     0.00      164     0.00     0.00  S_force_next
  0.00      0.25     0.00      162     0.00     0.00  Perl_save_pptr
  0.00      0.25     0.00      146     0.00     0.00  Perl_newLISTOP
  0.00      0.25     0.00      145     0.00     0.00  Perl_lex_next_chunk
  0.00      0.25     0.00      145     0.00     0.00  S_filter_gets
  0.00      0.25     0.00      144     0.00     0.00  Perl_gv_fetchsv
  0.00      0.25     0.00      144     0.00     0.00  S_incline
  0.00      0.25     0.00      143     0.00     0.00  Perl_mg_magical
  0.00      0.25     0.00      143     0.00     0.00  Perl_sv_magicext
  0.00      0.25     0.00      142     0.00     0.00  Perl_newSViv
  0.00      0.25     0.00      140     0.00     0.00  Perl_ck_rvconst
  0.00      0.25     0.00      139     0.00     0.00  Perl_newSVpvn_flags
  0.00      0.25     0.00      137     0.00     0.00  Perl_op_null
  0.00      0.25     0.00      136     0.00     0.00  PerlIOBase_error
  0.00      0.25     0.00      136     0.00     0.00  Perl_PerlIO_error
  0.00      0.25     0.00      136     0.00     0.00  Perl_PerlIO_write
  0.00      0.25     0.00      134     0.00     0.00  PerlIOBuf_write
  0.00      0.25     0.00      134     0.00     0.00  Perl_do_print
  0.00      0.25     0.00      130     0.00     0.00  S_op_clear_gv
  0.00      0.25     0.00      128     0.00     0.00  S_gv_magicalize
  0.00      0.25     0.00      125     0.00     0.00  Perl_pp_print
  0.00      0.25     0.00      124     0.00     0.00  Perl_pp_rv2gv
  0.00      0.25     0.00      124     0.00     0.00  S_rv2gv
  0.00      0.25     0.00      120     0.00     0.00  S_SvREFCNT_dec_NN
  0.00      0.25     0.00      116     0.00     0.00  Perl_pp_av2arylen
  0.00      0.25     0.00      115     0.00     0.00  Perl_save_I8
  0.00      0.25     0.00      114     0.00     0.00  Perl_pad_alloc
  0.00      0.25     0.00      114     0.00     0.00  Perl_pp_le
  0.00      0.25     0.00      107     0.00     0.00  S_scan_ident
  0.00      0.25     0.00      106     0.00     0.00  S_force_ident_maybe_lex
  0.00      0.25     0.00      106     0.00     0.00  S_pending_ident
  0.00      0.25     0.00      105     0.00     0.00  S_intuit_more
  0.00      0.25     0.00      103     0.00     0.00  Perl_op_linklist
  0.00      0.25     0.00      101     0.00     0.00  Perl_pad_free
  0.00      0.25     0.00      101     0.00     0.00  S_listkids
  0.00      0.25     0.00       99     0.00     0.00  Perl_refcounted_he_inc
  0.00      0.25     0.00       95     0.00     0.00  Perl_op_prepend_elem
  0.00      0.25     0.00       94     0.00     0.00  Perl_newOP
  0.00      0.25     0.00       93     0.00     0.00  Perl_op_append_list
  0.00      0.25     0.00       92     0.00     0.00  Perl_PerlIO_flush
  0.00      0.25     0.00       92     0.00     0.00  S_scan_word
  0.00      0.25     0.00       89     0.00     0.00  Perl_refcounted_he_free
  0.00      0.25     0.00       88     0.00     0.00  Perl_pp_gt
  0.00      0.25     0.00       86     0.00     0.00  Perl_intro_my
  0.00      0.25     0.00       86     0.00     0.00  Perl_keyword
  0.00      0.25     0.00       85     0.00     0.00  CvNAME_HEK
  0.00      0.25     0.00       84     0.00     0.00  Perl_cvgv_set
  0.00      0.25     0.00       84     0.00     0.00  S_process_special_blocks
  0.00      0.25     0.00       83     0.00     0.00  Perl_keyword_plugin_standard
  0.00      0.25     0.00       83     0.00     0.00  Perl_mro_method_changed_in
  0.00      0.25     0.00       83     0.00     0.00  S_word_takes_any_delimeter
  0.00      0.25     0.00       82     0.00     0.00  Perl_sv_setpv
  0.00      0.25     0.00       81     0.00     0.00  Perl_gv_fetchfile
  0.00      0.25     0.00       81     0.00     0.00  Perl_gv_fetchfile_flags
  0.00      0.25     0.00       81     0.00     0.00  Perl_newSVREF
  0.00      0.25     0.00       80     0.00     0.00  Perl_newXS_len_flags
  0.00      0.25     0.00       77     0.00     0.00  Perl_doref
  0.00      0.25     0.00       76     0.00     0.00  Perl_PerlIO_read
  0.00      0.25     0.00       73     0.00     0.00  Perl_newBINOP
  0.00      0.25     0.00       72     0.00     0.00  Perl_op_sibling_splice
  0.00      0.25     0.00       71     0.00     0.00  S_SvREFCNT_inc
  0.00      0.25     0.00       70     0.00     0.00  Perl_newSTATEOP
  0.00      0.25     0.00       69     0.00     0.00  Perl_save_generic_pvref
  0.00      0.25     0.00       63     0.00     0.00  Perl_cop_fetch_label
  0.00      0.25     0.00       62     0.00     0.00  Perl_sv_inc_nomg
  0.00      0.25     0.00       60     0.00     0.00  Perl_op_convert_list
  0.00      0.25     0.00       60     0.00     0.00  Perl_sv_magic
  0.00      0.25     0.00       60     0.00     0.00  S_cop_free
  0.00      0.25     0.00       57     0.00     0.00  Perl_op_lvalue_flags
  0.00      0.25     0.00       56     0.00     0.00  Perl_op_free
  0.00      0.25     0.00       56     0.00     0.00  Perl_save_sptr
  0.00      0.25     0.00       56     0.00     0.00  S_hv_auxinit_internal
  0.00      0.25     0.00       54     0.00     0.00  Perl_savepvn
  0.00      0.25     0.00       54     0.00     0.00  Perl_tmps_grow_p
  0.00      0.25     0.00       54     0.00     0.00  S_hv_auxinit
  0.00      0.25     0.00       52     0.00     0.00  Perl_hv_name_set
  0.00      0.25     0.00       52     0.00     0.00  Perl_newXS_flags
  0.00      0.25     0.00       51     0.00     0.00  Perl_gv_add_by_type
  0.00      0.25     0.00       51     0.00     0.00  S_op_destroy
  0.00      0.25     0.00       50     0.00     0.01  Perl_ck_fun
  0.00      0.25     0.00       49     0.00     0.00  Perl_save_generic_svref
  0.00      0.25     0.00       49     0.00     0.00  S_SvREFCNT_inc
  0.00      0.25     0.00       48     0.00     0.00  Perl_newSVpv
  0.00      0.25     0.00       47     0.00     0.00  PerlIOBase_noop_ok
  0.00      0.25     0.00       47     0.00     0.00  PerlIOBuf_flush
  0.00      0.25     0.00       47     0.00     0.00  Perl_mg_copy
  0.00      0.25     0.00       47     0.00     0.00  S_hv_magic_check
  0.00      0.25     0.00       44     0.00     0.00  PerlIOBuf_get_base
  0.00      0.25     0.00       44     0.00     0.00  Perl_PerlIO_get_base
  0.00      0.25     0.00       44     0.00     0.00  S_force_list
  0.00      0.25     0.00       41     0.00     0.00  S_hsplit
  0.00      0.25     0.00       40     0.00     0.00  Perl_op_append_elem
  0.00      0.25     0.00       38     0.00     0.00  PerlIOBase_read
