Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.01    141.72     0.01  1614879     0.00     0.00  Perl_pp_bit_and
  0.01    141.73     0.01  1341392     0.00     0.00  Perl_pp_rv2sv
  0.01    141.74     0.01  1261276     0.00     0.00  Perl_pp_padav
  0.01    141.75     0.01   992224     0.00     0.00  S_SvREFCNT_inc
  0.01    141.76     0.01   922517     0.00     0.00  Perl_magic_setmglob
  0.01    141.77     0.01   819508     0.00     0.00  S_pushav
  0.01    141.78     0.01   813538     0.00     0.00  Perl_dounwind
  0.01    141.79     0.01   745137     0.00     0.00  S_new_he
  0.01    141.80     0.01   675959     0.00     0.00  S_sv_2iuv_common
  0.01    141.81     0.01   598560     0.00     0.00  Perl_pp_pushre
  0.01    141.82     0.01   596756     0.00     0.00  S_unwind_loop
  0.01    141.83     0.01   591853     0.00     0.00  Perl_mg_magical
  0.01    141.84     0.01   576984     0.00     0.00  S_reg_node
  0.01    141.85     0.01   571228     0.00     0.00  Perl_pp_int
  0.01    141.86     0.01   543121     0.00     0.00  Perl_isinfnan
  0.01    141.87     0.01   518140     0.00     0.00  Perl_call_sv
  0.01    141.88     0.01   509336     0.00     0.00  Perl_cop_fetch_label
  0.01    141.89     0.01   494638     0.00     0.00  Perl_pp_undef
  0.01    141.90     0.01   457036     0.00     0.00  Perl_newSV_type
  0.01    141.91     0.01   386166     0.00     0.00  S_regpiece
  0.01    141.92     0.01   320885     0.00     0.00  Perl_gv_fetchpvn_flags
  0.01    141.93     0.01   272343     0.00     0.00  Perl_yylex
  0.01    141.94     0.01   266261     0.00     0.00  Perl_pp_unpack
  0.01    141.95     0.01   266261     0.00     0.00  Perl_unpackstring
  0.01    141.96     0.01   266261     0.00     0.00  S_need_utf8
  0.01    141.97     0.01   224485     0.00     0.00  Perl_av_make
  0.01    141.98     0.01   217320     0.00     0.00  Perl_pp_grepstart
  0.01    141.99     0.01   199061     0.00     0.00  Perl_sv_2nv_flags
  0.01    142.00     0.01   192056     0.00     0.00  S_alloc_maybe_populate_EXACT
  0.01    142.01     0.01   182692     0.00     0.00  Perl_pp_rv2cv
  0.01    142.02     0.01   137401     0.00     0.00  S_concat_pat
  0.01    142.03     0.01   136306     0.00     0.00  Perl_pp_regcomp
  0.01    142.04     0.01   125023     0.00     0.00  S_hv_delete_common
  0.01    142.05     0.01   115671     0.00     0.00  S_gv_init_svtype
  0.01    142.06     0.01    96031     0.00     0.00  S_join_exact
  0.01    142.07     0.01    95498     0.00     0.00  S_study_chunk
  0.01    142.08     0.01    94668     0.00     0.00  Perl_regfree_internal
  0.01    142.09     0.01    94131     0.00     0.00  Perl_pp_wantarray
  0.01    142.10     0.01    87537     0.00     0.00  Perl_sv_gets
  0.01    142.11     0.01    67372     0.00     0.00  Perl_sv_copypv_flags
  0.01    142.12     0.01    66580     0.00     0.00  S_scan_str
  0.01    142.13     0.01    63619     0.00     0.00  Perl_save_I32
  0.01    142.14     0.01    42455     0.00     0.00  S_parse_ident
  0.01    142.15     0.01    33365     0.00     0.00  Perl_pp_gmtime
  0.01    142.16     0.01    33365     0.00     0.00  S_gmtime64_r
  0.01    142.17     0.01    29798     0.00     0.00  S_hsplit
  0.01    142.18     0.01    20357     0.00     0.00  S_invlist_set_len
  0.01    142.19     0.01    19282     0.00     0.00  PerlIOBuf_flush
  0.01    142.20     0.01    16737     0.00     0.00  Perl_pp_lslice
  0.01    142.21     0.01    14229     0.00     0.00  Perl_pp_anoncode
  0.01    142.22     0.01    14172     0.00     0.00  Perl_mg_clear
  0.01    142.23     0.01    12295     0.00     0.00  Perl_op_lvalue_flags
  0.01    142.24     0.01     1772     0.00     0.00  S_timegm64
  0.01    142.25     0.01     1009     0.00     0.00  Perl_fbm_compile
  0.01    142.26     0.01      185     0.00     0.00  Perl_yyparse
  0.01    142.27     0.01      177     0.00     0.00  Perl_softref2xv
  0.01    142.28     0.01       91     0.00     0.00  Perl_pp_divide
  0.01    142.29     0.01       77     0.00     0.00  Perl_newSVrv
  0.01    142.30     0.01        4     0.00     2.36  S_visit
  0.01    142.31     0.01                             Perl_croak_no_mem
  0.01    142.32     0.01                             Perl_pp_anonconst
  0.01    142.33     0.01                             Perl_pp_crypt
  0.01    142.34     0.01                             Perl_pp_dbstate
  0.01    142.35     0.01                             Perl_pp_i_ge
  0.01    142.36     0.01                             Perl_pp_kvhslice
  0.01    142.37     0.01                             Perl_sortsv
  0.01    142.38     0.01                             Perl_sv_catpv_mg
  0.01    142.39     0.01                             Perl_sv_newref
  0.01    142.40     0.01                             Perl_sv_pos_b2u
  0.01    142.41     0.01                             Perl_sv_setpvn_mg
  0.01    142.42     0.01                             S__invlist_contains_cp
  0.01    142.43     0.01                             S_deref_plain_array
  0.00    142.43     0.01  3312008     0.00     0.00  S_restore_magic
  0.00    142.44     0.01   227683     0.00     0.00  Perl_gp_ref
  0.00    142.44     0.01   218126     0.00     0.00  Perl_gp_free
  0.00    142.45     0.01   118495     0.00     0.00  Perl_hv_free_ent
  0.00    142.45     0.01    42748     0.00     0.00  Perl_hv_clear
  0.00    142.46     0.01    12946     0.00     0.00  Perl_gv_fetchmeth_pvn
  0.00    142.46     0.01    12946     0.00     0.00  S_gv_fetchmeth_internal
  0.00    142.47     0.01      722     0.00     0.00  S_aassign_common_vars
  0.00    142.47     0.01      306     0.00     0.00  S_aassign_common_vars_aliases_only
  0.00    142.48     0.01       27     0.00     0.00  Perl_do_vop
  0.00    142.48     0.01                             Perl_hv_placeholders_p
  0.00    142.49     0.01                             Perl_magic_setutf8
  0.00    142.49     0.01                             S_CvGV
  0.00    142.49     0.00 23335818     0.00     0.00  Perl_unshare_hek
  0.00    142.49     0.00 21085039     0.00     0.00  S_SvREFCNT_inc
  0.00    142.49     0.00 13426814     0.00     0.00  S_CvDEPTHp
  0.00    142.49     0.00  3312007     0.00     0.00  Perl_save_alloc
  0.00    142.49     0.00  3312007     0.00     0.00  S_SvREFCNT_dec_NN
  0.00    142.49     0.00  3312007     0.00     0.00  S_save_magic_flags
  0.00    142.49     0.00  3285220     0.00     0.00  S_ReANY
  0.00    142.49     0.00  2250015     0.00     0.00  get_regex_charset
  0.00    142.49     0.00  2089513     0.00     0.00  Perl_newSVpvn_flags
  0.00    142.49     0.00  2080686     0.00     0.00  S_dopoptosub_at
  0.00    142.49     0.00  1994659     0.00     0.00  Perl_sv_unref_flags
  0.00    142.49     0.00  1964763     0.00     0.00  S_SvREFCNT_dec_NN
  0.00    142.49     0.00  1877952     0.00     0.00  S_ReANY
  0.00    142.49     0.00  1806388     0.00     0.00  S_ReANY
  0.00    142.49     0.00  1544851     0.00     0.00  Perl_rxres_save
  0.00    142.49     0.00  1534281     0.00     0.00  Perl_block_gimme
  0.00    142.49     0.00  1488774     0.00     0.00  Perl_safesyscalloc
  0.00    142.49     0.00  1393060     0.00     0.00  Perl_pp_i_eq
  0.00    142.49     0.00  1299651     0.00     0.00  S_expect_number
  0.00    142.49     0.00  1238870     0.00     0.00  Perl_sv_setuv
  0.00    142.49     0.00  1141490     0.00     0.00  Perl_mg_find_mglob
  0.00    142.49     0.00  1139937     0.00     0.00  Perl_sv_2iv_flags
  0.00    142.49     0.00  1082537     0.00     0.00  Perl_pp_aelemfast
  0.00    142.49     0.00   980883     0.00     0.00  Perl_regnext
  0.00    142.49     0.00   956240     0.00     0.00  Perl_mg_set
  0.00    142.49     0.00   943244     0.00     0.00  Perl_pp_srefgen
  0.00    142.49     0.00   943244     0.00     0.00  S_refto
  0.00    142.49     0.00   883046     0.00     0.00  S_CvDEPTHp
  0.00    142.49     0.00   748603     0.00     0.00  Perl_cast_iv
  0.00    142.49     0.00   723533     0.00     0.00  Perl_av_extend
  0.00    142.49     0.00   718986     0.00     0.00  S_opmethod_stash
  0.00    142.49     0.00   698107     0.00     0.00  S_SvREFCNT_inc
  0.00    142.49     0.00   673285     0.00     0.00  S_SvREFCNT_inc
  0.00    142.49     0.00   669360     0.00     0.00  get_regex_charset
  0.00    142.49     0.00   664736     0.00     0.00  S_SvREFCNT_dec
  0.00    142.49     0.00   655371     0.00     0.00  Perl_translate_substr_offsets
  0.00    142.49     0.00   615481     0.00     0.00  Perl_newSViv
  0.00    142.49     0.00   582466     0.00     0.00  S_nextchar
  0.00    142.49     0.00   580939     0.00     0.00  Perl_re_intuit_string
  0.00    142.49     0.00   578984     0.00     0.00  S_regnode_guts
  0.00    142.49     0.00   576595     0.00     0.00  Perl_sv_setnv
  0.00    142.49     0.00   573344     0.00     0.00  Perl_pp_lt
  0.00    142.49     0.00   550696     0.00     0.00  S_rxres_free
  0.00    142.49     0.00   548695     0.00     0.00  Perl_cast_uv
  0.00    142.49     0.00   547213     0.00     0.00  Perl_pp_helem
  0.00    142.49     0.00   543034     0.00     0.00  Perl_sv_setnv_mg
  0.00    142.49     0.00   543034     0.00     0.00  spec_genrand_int32
  0.00    142.49     0.00   543034     0.00     0.00  spec_rand
  0.00    142.49     0.00   535079     0.00     0.00  Perl_pp_ref
  0.00    142.49     0.00   527599     0.00     0.00  Perl_av_clear
  0.00    142.49     0.00   517918     0.00     0.00  Perl_magic_getpack
  0.00    142.49     0.00   517918     0.00     0.00  S_magic_methcall1
  0.00    142.49     0.00   517918     0.00     0.00  S_magic_methpack
  0.00    142.49     0.00   517908     0.00     0.00  Perl_refcounted_he_fetch_pvn
  0.00    142.49     0.00   517908     0.00     0.00  XS_arybase_FETCH
  0.00    142.49     0.00   516711     0.00     0.00  Perl_pp_gt
  0.00    142.49     0.00   498730     0.00     0.00  S_ckwarn_common
  0.00    142.49     0.00   445089     0.00     0.00  Perl_pp_list
  0.00    142.49     0.00   429073     0.00     0.00  Perl_pp_sne
  0.00    142.49     0.00   396077     0.00     0.00  Perl_pp_aelem
  0.00    142.49     0.00   390077     0.00     0.00  Perl_sv_vsetpvfn
  0.00    142.49     0.00   390026     0.00     0.00  Perl_pp_sprintf
  0.00    142.49     0.00   387757     0.00     0.00  S_regtail
  0.00    142.49     0.00   372172     0.00     0.00  Perl__to_fold_latin1
  0.00    142.49     0.00   368701     0.00     0.00  S_uiv_2buf
  0.00    142.49     0.00   306426     0.00     0.00  Perl_pp_av2arylen
  0.00    142.49     0.00   303833     0.00     0.00  Perl_sv_magicext
  0.00    142.49     0.00   302654     0.00     0.00  Perl_sv_unmagic
  0.00    142.49     0.00   302654     0.00     0.00  S_sv_unmagicext_flags
  0.00    142.49     0.00   288039     0.00     0.00  Perl_mg_free
  0.00    142.49     0.00   288036     0.00     0.00  S_mg_free_struct
  0.00    142.49     0.00   275384     0.00     0.00  Perl_sv_magicext_mglob
  0.00    142.49     0.00   269809     0.00     0.00  Perl_newRV_noinc
  0.00    142.49     0.00   266261     0.00     0.00  S_first_symbol
  0.00    142.49     0.00   264748     0.00     0.00  encbase64
  0.00    142.49     0.00   240680     0.00     0.00  w32mem
  0.00    142.49     0.00   239126     0.00     0.00  Perl_sv_2bool_flags
  0.00    142.49     0.00   224485     0.00     0.00  Perl_pp_anonlist
  0.00    142.49     0.00   219136     0.00     0.00  Perl_gv_fetchsv
  0.00    142.49     0.00   212071     0.00     0.00  Perl_save_generic_svref
  0.00    142.49     0.00   208943     0.00     0.00  Perl_do_ncmp
  0.00    142.49     0.00   207906     0.00     0.00  S_regcppop
  0.00    142.49     0.00   206703     0.00     0.00  Perl_save_gp
  0.00    142.49     0.00   205380     0.00     0.00  Perl_foldEQ_latin1
  0.00    142.49     0.00   204745     0.00     0.00  Perl_scalar
  0.00    142.49     0.00   199603     0.00     0.00  Perl_Slab_Alloc
  0.00    142.49     0.00   192492     0.00     0.00  S_scan_commit
  0.00    142.49     0.00   192374     0.00     0.00  S_regbranch
  0.00    142.49     0.00   192056     0.00     0.00  S_compute_EXACTish
  0.00    142.49     0.00   191800     0.00     0.00  S_reg
  0.00    142.49     0.00   190972     0.00     0.00  S_setup_longest
  0.00    142.49     0.00   188894     0.00     0.00  S_sortcv
  0.00    142.49     0.00   183705     0.00     0.00  Perl_sv_2cv
  0.00    142.49     0.00   171617     0.00     0.00  Perl_newSVsv
  0.00    142.49     0.00   154228     0.00     0.00  Perl_hv_iterval
  0.00    142.49     0.00   144718     0.00     0.00  Perl_pp_enteriter
  0.00    142.49     0.00   139606     0.00     0.00  Perl_save_scalar
  0.00    142.49     0.00   139606     0.00     0.00  S_save_scalar_at
  0.00    142.49     0.00   130428     0.00     0.00  PerlIO_isutf8
  0.00    142.49     0.00   124891     0.00     0.00  Perl_pp_quotemeta
  0.00    142.49     0.00   124841     0.00     0.00  Perl_pp_splice
  0.00    142.49     0.00   123744     0.00     0.00  Perl_save_padsv_and_mortalize
  0.00    142.49     0.00   123601     0.00     0.00  Perl_pp_ncmp
  0.00    142.49     0.00   122852     0.00     0.00  Perl_grok_numeric_radix
  0.00    142.49     0.00   118039     0.00     0.00  Perl_sv_pvn_force_flags
  0.00    142.49     0.00   117215     0.00     0.00  Perl_grok_number
  0.00    142.49     0.00   117215     0.00     0.00  Perl_grok_number_flags
  0.00    142.49     0.00   116061     0.00     0.00  Perl_op_clear
  0.00    142.49     0.00   104082     0.00     0.00  Perl_Slab_Free
  0.00    142.49     0.00   100235     0.00     0.00  S_dopoptoloop
  0.00    142.49     0.00    94697     0.00     0.00  Perl_pregfree2
  0.00    142.49     0.00    90988     0.00     0.00  Perl_get_cvn_flags
  0.00    142.49     0.00    89959     0.00     0.00  PerlIOBuf_get_cnt
  0.00    142.49     0.00    89959     0.00     0.00  Perl_PerlIO_get_cnt
  0.00    142.49     0.00    89773     0.00     0.00  Perl_pp_ge
  0.00    142.49     0.00    89139     0.00     0.00  PerlIOBuf_get_ptr
  0.00    142.49     0.00    89139     0.00     0.00  PerlIOBuf_set_ptrcnt
  0.00    142.49     0.00    89139     0.00     0.00  Perl_PerlIO_get_ptr
  0.00    142.49     0.00    89139     0.00     0.00  Perl_PerlIO_set_ptrcnt
  0.00    142.49     0.00    88650     0.00     0.00  Perl_list
  0.00    142.49     0.00    88357     0.00     0.00  PerlIO_fast_gets
  0.00    142.49     0.00    87391     0.00     0.00  S_SvREFCNT_dec
  0.00    142.49     0.00    87357     0.00     0.00  Perl_lex_next_chunk
  0.00    142.49     0.00    87330     0.00     0.00  S_filter_gets
  0.00    142.49     0.00    87315     0.00     0.00  S_incline
  0.00    142.49     0.00    87145     0.00     0.00  Perl_newSVOP
  0.00    142.49     0.00    86824     0.00     0.00  Perl_ck_svconst
  0.00    142.49     0.00    84622     0.00     0.00  Perl_pp_le
  0.00    142.49     0.00    82079     0.00     0.00  Perl_op_sibling_splice
  0.00    142.49     0.00    81409     0.00     0.00  S_hfreeentries
  0.00    142.49     0.00    76658     0.00     0.00  Perl_pp_next
  0.00    142.49     0.00    74371     0.00     0.00  S_get_invlist_offset_addr
  0.00    142.49     0.00    71734     0.00     0.00  Perl_ck_null
  0.00    142.49     0.00    69898     0.00     0.00  Perl_pp_multiply
