Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     20.53     0.00        1     0.00     0.00  lzma_block_header_encode
  0.00     20.53     0.00        1     0.00     0.00  lzma_block_header_size
  0.00     20.53     0.00        1     0.00     0.00  lzma_filter_flags_encode
  0.00     20.53     0.00        1     0.00     0.00  lzma_filter_flags_size
  0.00     20.53     0.00        1     0.00     0.00  lzma_filters_copy
  0.00     20.53     0.00        1     0.00     0.00  lzma_index_append
  0.00     20.53     0.00        1     0.00     0.00  lzma_index_block_count
  0.00     20.53     0.00        1     0.00     0.00  lzma_index_encoder_init
  0.00     20.53     0.00        1     0.00     0.00  lzma_index_init
  0.00     20.53     0.00        1     0.00     0.00  lzma_index_iter_init
  0.00     20.53     0.00        1     0.00     0.00  lzma_index_iter_rewind
  0.00     20.53     0.00        1     0.00     0.00  lzma_index_padding_size
  0.00     20.53     0.00        1     0.00     0.00  lzma_index_size
  0.00     20.53     0.00        1     0.00     0.00  lzma_lz_encoder_init
  0.00     20.53     0.00        1     0.00     0.00  lzma_lzma2_encoder_init
  0.00     20.53     0.00        1     0.00     0.00  lzma_lzma2_props_encode
  0.00     20.53     0.00        1     0.00     0.00  lzma_lzma_encoder_create
  0.00     20.53     0.00        1     0.00     0.00  lzma_lzma_lclppb_encode
  0.00     20.53     0.00        1     0.00     0.00  lzma_lzma_preset
  0.00     20.53     0.00        1     0.00     0.00  lzma_properties_encode
  0.00     20.53     0.00        1     0.00     0.00  lzma_raw_encoder_init
  0.00     20.53     0.00        1     0.00     0.00  lzma_stream_encoder
  0.00     20.53     0.00        1     0.00     0.00  lzma_stream_encoder_init
  0.00     20.53     0.00        1     0.00     0.00  lzma_stream_footer_encode
  0.00     20.53     0.00        1     0.00     0.00  lzma_stream_header_encode
  0.00     20.53     0.00        1     0.00     0.00  print_sum
  0.00     20.53     0.00        1     0.00     0.00  set_lz_options
  0.00     20.53     0.00        1     0.00     0.00  sha_min
  0.00     20.53     0.00        1     0.00     7.79  spec_compress
  0.00     20.53     0.00        1     0.00     0.00  spec_initbufs
  0.00     20.53     0.00        1     0.00     0.00  spec_mem_alloc_fds
  0.00     20.53     0.00        1     0.00     6.45  spec_mem_load
  0.00     20.53     0.00        1     0.00     0.00  stream_encoder_end
  0.00     20.53     0.00        1     0.00     0.00  stream_encoder_update
  0.00     20.53     0.00        1     0.00     0.00  sum_str_to_hex
  0.00     20.53     0.00        1     0.00     0.00  unaligned_write32le

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2020 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
